,ACC
175,0.358642578125
176,0.362548828125
177,0.36175537109375
178,0.35882568359375
179,0.36224365234375
180,0.3642578125
181,0.3614501953125
182,0.3648681640625
183,0.36199951171875
184,0.36260986328125
185,0.36444091796875
186,0.36395263671875
187,0.3646240234375
188,0.3626708984375
189,0.361328125
190,0.36285400390625
191,0.364501953125
192,0.3660888671875
193,0.36517333984375
194,0.36346435546875
195,0.36468505859375
196,0.36224365234375
197,0.36669921875
198,0.36431884765625
199,0.3631591796875
200,0.36029052734375
201,0.3636474609375
202,0.36285400390625
203,0.35888671875
204,0.3626708984375
205,0.361572265625
206,0.3599853515625
207,0.3603515625
208,0.35772705078125
209,0.35943603515625
210,0.35955810546875
211,0.35845947265625
212,0.35760498046875
213,0.35858154296875
214,0.35760498046875
215,0.3564453125
216,0.3582763671875
217,0.35565185546875
218,0.35821533203125
219,0.35595703125
220,0.3587646484375
221,0.3563232421875
222,0.35601806640625
223,0.35736083984375
224,0.357666015625
225,0.3564453125
226,0.3572998046875
227,0.355224609375
228,0.35498046875
229,0.35589599609375
230,0.35528564453125
231,0.3572998046875
232,0.35809326171875
233,0.3570556640625
234,0.35894775390625
235,0.35736083984375
236,0.3580322265625
237,0.357666015625
238,0.3594970703125
239,0.35711669921875
240,0.360107421875
241,0.359375
242,0.363037109375
243,0.35931396484375
244,0.36285400390625
245,0.36309814453125
246,0.360595703125
247,0.3636474609375
248,0.3656005859375
249,0.36212158203125
250,0.36492919921875
251,0.36395263671875
252,0.36346435546875
253,0.36181640625
254,0.36041259765625
255,0.3638916015625
256,0.36468505859375
257,0.36456298828125
258,0.3648681640625
259,0.36474609375
260,0.36041259765625
261,0.36309814453125
262,0.36279296875
263,0.36285400390625
264,0.3604736328125
265,0.36297607421875
266,0.36383056640625
267,0.36224365234375
268,0.3603515625
269,0.3623046875
270,0.359375
271,0.359375
272,0.359375
273,0.35821533203125
274,0.35845947265625
275,0.36041259765625
276,0.35791015625
277,0.35821533203125
278,0.35797119140625
279,0.36029052734375
280,0.35540771484375
281,0.356201171875
282,0.35491943359375
283,0.35748291015625
284,0.35650634765625
285,0.35443115234375
286,0.35723876953125
287,0.35601806640625
288,0.353759765625
289,0.35711669921875
290,0.3565673828125
291,0.35650634765625
292,0.35516357421875
293,0.3546142578125
294,0.35687255859375
295,0.356689453125
296,0.35675048828125
297,0.3572998046875
298,0.3563232421875
299,0.35748291015625
300,0.354736328125
301,0.3580322265625
302,0.3580322265625
303,0.36090087890625
304,0.35693359375
305,0.359375
306,0.3623046875
307,0.35772705078125
308,0.363037109375
309,0.36334228515625
310,0.36126708984375
311,0.36224365234375
312,0.36248779296875
313,0.3626708984375
314,0.3641357421875
315,0.364990234375
316,0.36407470703125
317,0.362060546875
318,0.3631591796875
319,0.36004638671875
320,0.361083984375
321,0.36297607421875
322,0.3662109375
323,0.36346435546875
324,0.3651123046875
325,0.3643798828125
326,0.36431884765625
327,0.36419677734375
328,0.36456298828125
329,0.36151123046875
330,0.3631591796875
331,0.36102294921875
332,0.36297607421875
333,0.3619384765625
334,0.36065673828125
335,0.35943603515625
336,0.35955810546875
337,0.36041259765625
338,0.35943603515625
339,0.35968017578125
340,0.35772705078125
341,0.36077880859375
342,0.35736083984375
343,0.35723876953125
344,0.35845947265625
345,0.35394287109375
346,0.35693359375
347,0.35711669921875
348,0.35791015625
349,0.356201171875
350,0.3551025390625
351,0.35595703125
352,0.35565185546875
353,0.35760498046875
354,0.35650634765625
355,0.3587646484375
356,0.35577392578125
357,0.35791015625
358,0.3555908203125
359,0.358642578125
360,0.35797119140625
361,0.357666015625
362,0.35882568359375
363,0.35772705078125
364,0.35784912109375
365,0.35980224609375
366,0.3612060546875
367,0.361328125
368,0.36358642578125
369,0.36248779296875
370,0.36309814453125
371,0.36114501953125
372,0.36279296875
373,0.365478515625
374,0.36407470703125
375,0.36346435546875
376,0.3651123046875
377,0.36834716796875
378,0.36212158203125
379,0.36224365234375
380,0.36279296875
381,0.36285400390625
382,0.36456298828125
383,0.367919921875
384,0.366455078125
385,0.36700439453125
386,0.36358642578125
387,0.36712646484375
388,0.36724853515625
389,0.36480712890625
390,0.36383056640625
391,0.3646240234375
392,0.3616943359375
393,0.3638916015625
394,0.3623046875
395,0.36285400390625
396,0.36114501953125
397,0.36199951171875
398,0.36297607421875
399,0.3590087890625
400,0.36114501953125
401,0.36090087890625
402,0.35870361328125
403,0.3597412109375
404,0.356689453125
405,0.35906982421875
406,0.3587646484375
407,0.35931396484375
408,0.35748291015625
409,0.35992431640625
410,0.356201171875
411,0.35845947265625
412,0.3544921875
413,0.35772705078125
414,0.3568115234375
415,0.35675048828125
416,0.36065673828125
417,0.35614013671875
418,0.35845947265625
419,0.35809326171875
420,0.358642578125
421,0.35809326171875
422,0.3563232421875
423,0.35589599609375
424,0.357421875
425,0.35797119140625
426,0.35980224609375
427,0.35833740234375
428,0.36029052734375
429,0.35821533203125
430,0.359375
431,0.357666015625
432,0.3624267578125
433,0.35882568359375
434,0.363525390625
435,0.36492919921875
436,0.3590087890625
437,0.36358642578125
438,0.36395263671875
439,0.364013671875
440,0.365234375
441,0.36297607421875
442,0.3631591796875
443,0.36474609375
444,0.3660888671875
445,0.36669921875
446,0.36376953125
447,0.36285400390625
448,0.3646240234375
449,0.3629150390625
450,0.367431640625
451,0.3685302734375
452,0.36517333984375
453,0.3651123046875
454,0.36700439453125
455,0.3670654296875
456,0.36370849609375
457,0.365966796875
458,0.36322021484375
459,0.3634033203125
460,0.36065673828125
461,0.3626708984375
462,0.36083984375
463,0.36065673828125
464,0.3609619140625
465,0.35906982421875
466,0.36273193359375
467,0.3585205078125
468,0.35894775390625
469,0.3563232421875
470,0.362548828125
471,0.35821533203125
472,0.3568115234375
473,0.35888671875
474,0.35662841796875
475,0.35748291015625
476,0.358154296875
477,0.3565673828125
478,0.3568115234375
479,0.3568115234375
480,0.35784912109375
481,0.3565673828125
482,0.35693359375
483,0.35650634765625
484,0.3563232421875
485,0.3564453125
