,PPG
871,30280
872,30272
873,30296
874,30280
875,30312
876,30320
877,30336
878,30312
879,30320
880,30320
881,30288
882,30272
883,30240
884,30280
885,30232
886,30248
887,30240
888,30240
889,30272
890,30288
891,30280
892,30264
893,30288
894,30304
895,30288
896,30344
897,30360
898,30368
899,30384
900,30360
901,30392
902,30392
903,30376
904,30392
905,30424
906,30408
907,30416
908,30424
909,30408
910,30408
911,30416
912,30416
913,30440
914,30424
915,30408
916,30432
917,30440
918,30432
919,30456
920,30440
921,30456
922,30464
923,30464
924,30464
925,30488
926,30480
927,30496
928,30504
929,30512
930,30512
931,30544
932,30536
933,30544
934,30552
935,30536
936,30544
937,30560
938,30568
939,30544
940,30552
941,30568
942,30584
943,30616
944,30640
945,30592
946,30600
947,30600
948,30584
949,30632
950,30632
951,30632
952,30624
953,30648
954,30656
955,30656
956,30648
957,30576
958,30480
959,30368
960,30280
961,30216
962,30128
963,30096
964,30056
965,30056
966,30024
967,30064
968,30096
969,30040
970,30096
971,30104
972,30152
973,30144
974,30168
975,30168
976,30160
977,30184
978,30184
979,30176
980,30232
981,30232
982,30240
983,30256
984,30184
985,30208
986,30192
987,30176
988,30176
989,30184
990,30168
991,30152
992,30128
993,30136
994,30136
995,30160
996,30152
997,30176
998,30176
999,30160
1000,30192
1001,30208
1002,30240
1003,30264
1004,30248
1005,30256
1006,30272
1007,30272
1008,30312
1009,30304
1010,30288
1011,30280
1012,30312
1013,30312
1014,30296
1015,30280
1016,30288
1017,30320
1018,30320
1019,30296
1020,30312
1021,30304
1022,30320
1023,30328
1024,30336
1025,30336
1026,30336
1027,30352
1028,30336
1029,30352
1030,30368
1031,30360
1032,30384
1033,30376
1034,30384
1035,30392
1036,30424
1037,30440
1038,30416
1039,30416
1040,30456
1041,30432
1042,30456
1043,30440
1044,30464
1045,30464
1046,30448
1047,30456
1048,30472
1049,30464
1050,30464
1051,30464
1052,30464
1053,30504
1054,30504
1055,30464
1056,30496
1057,30496
1058,30512
1059,30520
1060,30544
1061,30560
1062,30544
1063,30568
1064,30536
1065,30544
1066,30536
1067,30464
1068,30344
1069,30280
1070,30184
1071,30128
1072,30096
1073,30040
1074,30040
1075,30024
1076,30040
1077,30032
1078,30088
1079,30096
1080,30088
1081,30120
1082,30136
1083,30152
1084,30160
1085,30192
1086,30240
1087,30232
1088,30272
1089,30272
1090,30248
1091,30280
1092,30280
1093,30264
1094,30240
1095,30232
1096,30216
1097,30200
1098,30192
1099,30176
1100,30168
1101,30152
1102,30168
1103,30144
1104,30216
1105,30200
1106,30208
1107,30216
1108,30232
1109,30256
1110,30272
1111,30312
1112,30296
1113,30312
1114,30312
1115,30336
1116,30320
1117,30328
1118,30352
1119,30352
1120,30336
1121,30352
1122,30360
1123,30360
1124,30368
1125,30376
1126,30360
1127,30352
1128,30360
1129,30392
1130,30376
1131,30368
1132,30368
1133,30376
1134,30400
1135,30400
1136,30392
1137,30408
1138,30416
1139,30408
1140,30464
1141,30440
1142,30432
1143,30464
1144,30456
1145,30456
1146,30456
1147,30440
1148,30472
1149,30448
1150,30504
1151,30496
1152,30496
1153,30512
1154,30504
1155,30520
1156,30512
1157,30544
1158,30560
1159,30536
1160,30512
1161,30576
1162,30600
1163,30560
1164,30584
1165,30600
1166,30616
1167,30624
1168,30624
1169,30584
1170,30600
1171,30520
1172,30432
1173,30336
1174,30216
1175,30144
1176,30112
1177,30040
1178,30024
1179,29976
1180,29976
1181,29992
1182,29992
1183,30016
1184,30024
1185,30056
1186,30088
1187,30056
1188,30112
1189,30128
1190,30120
1191,30136
1192,30128
1193,30120
1194,30160
1195,30160
1196,30152
1197,30168
1198,30152
1199,30152
1200,30128
1201,30128
1202,30120
1203,30088
1204,30104
1205,30096
1206,30104
1207,30144
1208,30096
1209,30088
1210,30152
1211,30144
1212,30168
1213,30168
1214,30192
1215,30208
1216,30216
1217,30248
1218,30256
1219,30256
1220,30256
1221,30272
1222,30288
1223,30304
1224,30272
1225,30296
1226,30320
1227,30296
1228,30304
1229,30296
1230,30304
1231,30304
1232,30296
1233,30312
1234,30312
1235,30296
1236,30320
1237,30352
1238,30328
1239,30344
1240,30328
1241,30360
1242,30360
1243,30368
1244,30328
1245,30368
1246,30360
1247,30400
1248,30400
1249,30392
1250,30416
1251,30376
1252,30432
1253,30456
1254,30440
1255,30440
1256,30456
1257,30448
1258,30496
1259,30496
